x,y,s,v
0.204082,0.428571,-0.0185433,0.117768
0.204082,0.44898,-0.0199917,0.102138
0.204082,0.469388,-0.0214322,0.0865516
0.204082,0.489796,-0.0228551,0.0712677
0.22449,0,0,0.261585
0.22449,0.0204082,-5.44741e-05,0.266437
0.22449,0.0408163,-0.000219686,0.269857
0.22449,0.0612245,-0.000496445,0.271686
0.22449,0.0816327,-0.000884637,0.271871
0.22449,0.102041,-0.00138332,0.270416
0.22449,0.122449,-0.00199086,0.267348
0.22449,0.142857,-0.002705,0.262702
0.22449,0.163265,-0.00352294,0.256507
0.22449,0.183673,-0.00444142,0.248783
0.22449,0.204082,-0.00545668,0.239538
0.22449,0.22449,-0.00656445,0.228778
0.22449,0.244898,-0.00775997,0.216502
0.22449,0.265306,-0.00903785,0.202717
0.22449,0.285714,-0.0103921,0.187438
0.22449,0.306122,-0.011816,0.170696
0.22449,0.326531,-0.0133021,0.152548
0.22449,0.346939,-0.0148423,0.133074
0.22449,0.367347,-0.0164275,0.112392
0.22449,0.387755,-0.0180481,0.0906533
0.22449,0.408163,-0.0196936,0.0680476
0.22449,0.428571,-0.0213532,0.0448033
0.22449,0.44898,-0.0230153,0.0211844
0.22449,0.469388,-0.0246684,-0.00251449
0.22449,0.489796,-0.0263007,-0.0259796
0.244898,0,0,0.311737
0.244898,0.0204082,-6.49181e-05,0.310197
0.244898,0.0408163,-0.000258969,0.307864
0.244898,0.0612245,-0.00058104,0.30442
0.244898,0.0816327,-0.00102955,0.299669
0.244898,0.102041,-0.00160245,0.293495
0.244898,0.122449,-0.00229724,0.285829
0.244898,0.142857,-0.00311103,0.276626
0.244898,0.163265,-0.00404051,0.265849
0.244898,0.183673,-0.00508196,0.253465
0.244898,0.204082,-0.00623123,0.239442
0.244898,0.22449,-0.00748371,0.223747
0.244898,0.244898,-0.00883419,0.206348
0.244898,0.265306,-0.0102769,0.187226
0.244898,0.285714,-0.0118053,0.166373
0.244898,0.306122,-0.013412,0.143801
0.244898,0.326531,-0.015089,0.119553
0.244898,0.346939,-0.0168271,0.0937033
0.244898,0.367347,-0.0186165,0.066367
0.244898,0.387755,-0.0204462,0.0377039
0.244898,0.408163,-0.0223046,0.0079218
0.244898,0.428571,-0.0241792,-0.0227235
0.244898,0.44898,-0.0260569,-0.0539297
0.244898,0.469388,-0.0279242,-0.0853532
