x,y,s,v
0.075,0.06875,-2.81534e-05,0.0100926
0.075,0.075,-3.27692e-05,0.00955769
0.075,0.08125,-3.75567e-05,0.00900817
0.075,0.0875,-4.24735e-05,0.00844519
0.075,0.09375,-4.7477e-05,0.00786891
0.075,0.1,-5.25254e-05,0.00727872
0.075,0.10625,-5.75774e-05,0.00667329
0.075,0.1125,-6.25923e-05,0.00605075
0.075,0.11875,-6.75306e-05,0.00540879
0.075,0.125,-7.23532e-05,0.00474474
0.075,0.13125,-7.70224e-05,0.00405566
0.075,0.1375,-8.15014e-05,0.00333845
0.075,0.14375,-8.57546e-05,0.00258989
0.075,0.15,-8.97475e-05,0.00180669
0.075,0.15625,-9.3447e-05,0.00098557
0.075,0.1625,-9.68212e-05,0.000123316
0.075,0.16875,-9.98398e-05,-0.000783209
0.075,0.175,-0.000102474,-0.001737
0.075,0.18125,-0.000104697,-0.00274088
0.075,0.1875,-0.000106483,-0.00379747
0.075,0.19375,-0.000107809,-0.00490917
0.075,0.2,-0.000108655,-0.0060248
0.0833333,0,0,0.0168483
0.0833333,0.00625,-3.29069e-07,0.0165297
0.0833333,0.0125,-1.30181e-06,0.0161239
0.0833333,0.01875,-2.89672e-06,0.0156387
0.0833333,0.025,-5.086e-06,0.0150828
0.0833333,0.03125,-7.83644e-06,0.0144651
0.0833333,0.0375,-1.11103e-05,0.0137943
0.0833333,0.04375,-1.48662e-05,0.0130785
0.0833333,0.05,-1.90598e-05,0.0123249
0.0833333,0.05625,-2.36445e-05,0.0115397
0.0833333,0.0625,-2.85722e-05,0.0107281
0.0833333,0.06875,-3.37939e-05,0.00989423
0.0833333,0.075,-3.92596e-05,0.00904128
0.0833333,0.08125,-4.49194e-05,0.00817139
0.0833333,0.0875,-5.07232e-05,0.00728588
0.0833333,0.09375,-5.66215e-05,0.00638533
0.0833333,0.1,-6.25649e-05,0.00546967
0.0833333,0.10625,-6.8505e-05,0.00453823
0.0833333,0.1125,-7.43941e-05,0.00358991
0.0833333,0.11875,-8.01853e-05,0.00262322
0.0833333,0.125,-8.58327e-05,0.00163635
0.0833333,0.13125,-9.12918e-05,0.000627276
0.0833333,0.1375,-9.65188e-05,-0.000406208
0.0833333,0.14375,-0.000101472,-0.0014664
0.0833333,0.15,-0.000106109,-0.00255567
0.0833333,0.15625,-0.000110392,-0.00367638
0.0833333,0.1625,-0.000114282,-0.00483086
0.0833333,0.16875,-0.000117743,-0.00602133
0.0833333,0.175,-0.00012074,-0.00724992
0.0833333,0.18125,-0.000123241,-0.00851859
0.0833333,0.1875,-0.000125215,-0.00982909
0.0833333,0.19375,-0.000126634,-0.011183
0.0833333,0.2,-0.000127472,-0.0125222
0.0916667,0,0,0.0205194
0.0916667,0.00625,-4.00769e-07,0.0197841
0.0916667,0.0125,-1.57286e-06,0.0189857
0.0916667,0.01875,-3.48085e-06,0.0181278
0.0916667,0.025,-6.08454e-06,0.017215
0.0916667,0.03125,-9.33956e-06,0.0162526
0.0916667,0.0375,-1.3198e-05,0.015246
0.0916667,0.04375,-1.76088e-05,0.0142006
0.0916667,0.05,-2.25189e-05,0.0131216
0.0916667,0.05625,-2.78731e-05,0.0120133
0.0916667,0.0625,-3.3615e-05,0.0108797
0.0916667,0.06875,-3.96875e-05,0.00972399
0.0916667,0.075,-4.60329e-05,0.00854873
0.0916667,0.08125,-5.25934e-05,0.00735582
0.0916667,0.0875,-5.93112e-05,0.00614653
0.0916667,0.09375,-6.61291e-05,0.00492159
0.0916667,0.1,-7.29902e-05,0.00368122
0.0916667,0.10625,-7.98386e-05,0.00242523
0.0916667,0.1125,-8.66192e-05,0.00115303
0.0916667,0.11875,-9.32776e-05,-0.000136257
0.0916667,0.125,-9.97609e-05,-0.00144375
0.0916667,0.13125,-0.000106017,-0.00277075
0.0916667,0.1375,-0.000111996,-0.00411873
0.0916667,0.14375,-0.000117647,-0.00548919
0.0916667,0.15,-0.000122924,-0.00688372
0.0916667,0.15625,-0.00012778,-0.00830387
0.0916667,0.1625,-0.00013217,-0.00975116
0.0916667,0.16875,-0.000136052,-0.011227
0.0916667,0.175,-0.000139385,-0.0127328
0.0916667,0.18125,-0.000142131,-0.0142695
0.0916667,0.1875,-0.000144252,-0.0158382
0.0916667,0.19375,-0.000145715,-0.0174396
0.0916667,0.2,-0.00014649,-0.0190086
0.1,0,0,0.0243262
0.1,0.00625,-4.75122e-07,0.0231655
0.1,0.0125,-1.85411e-06,0.0219635
0.1,0.01875,-4.08705e-06,0.0207205
0.1,0.025,-7.12066e-06,0.0194378
0.1,0.03125,-1.08987e-05,0.0181179
0.1,0.0375,-1.53622e-05,0.0167635
0.1,0.04375,-2.04501e-05,0.0153777
0.1,0.05,-2.60996e-05,0.0139635
0.1,0.05625,-3.22465e-05,0.0125239
0.1,0.0625,-3.88257e-05,0.0110614
0.1,0.06875,-4.57714e-05,0.00957844
0.1,0.075,-5.30176e-05,0.00807679
0.1,0.08125,-6.04984e-05,0.00655796
0.1,0.0875,-6.81481e-05,0.00502301
0.1,0.09375,-7.59014e-05,0.00347265
0.1,0.1,-8.36938e-05,0.00190723
0.1,0.10625,-9.14613e-05,0.000326791
0.1,0.1125,-9.91413e-05,-0.00126887
0.1,0.11875,-0.000106672,-0.0028802
